session,env,asset,arm,joint,n_samples,zerolag_mae_deg,zerolag_rms_deg,zerolag_p95_deg,zerolag_max_deg,lag_k_ms,lag_xcorr_r,lag_censored,lagcomp_mae_deg,lagcomp_rms_deg,lagcomp_p95_deg,lagcomp_max_deg,steady_n_samples,steady_mae_deg,steady_rms_deg,steady_p95_deg,steady_max_deg,steady_bias_deg
episode_0000,sim,superseded,left,shoulder_pitch,329,43.32234559539056,51.69301435553812,88.28263619161274,91.73182026433892,0.0,-0.1238,False,43.32234559539056,51.69301435553812,88.28263619161274,91.73182026433892,204,32.727412804283155,38.67889003503833,47.45331541344095,47.45333436686981,32.727412804283155
episode_0000,sim,superseded,left,shoulder_roll,329,8.916675005789028,14.25925234537578,34.80265670463054,38.44506415895523,1166.7,0.9252,False,4.586735302712533,6.344119440189214,13.812718885443843,16.755231255286855,204,3.987876339228852,7.210430191155244,19.97062899804481,29.076231364144043,1.7018100799465246
episode_0000,sim,superseded,left,shoulder_yaw,329,3.409962903513109,4.883218539804173,11.386966919163868,14.96516924746713,400.0,0.9918,False,2.316057303250241,2.8562742746220233,5.638911514461291,7.177995630034701,135,1.1159460901035765,1.1159460943248585,1.11611641072367,1.1162149139749218,-1.1159460901035765
episode_0000,sim,superseded,left,elbow,329,3.123035241676365,3.4107654391727196,5.111129909614618,5.477605281984083,133.3,0.8504,False,3.113283829381884,3.3993225978614237,5.077017473124627,5.496296764219423,241,2.849848136632181,3.200465325999698,5.209952524150779,5.477605281984083,2.7202161138906957
episode_0000,sim,superseded,left,wrist_roll,329,2.286201531860253,3.909447284064133,10.270716667909229,12.280964956462217,466.7,0.9866,False,1.2944368162078266,1.9709392324932953,4.229865284458486,8.832637079726354,135,0.37587135522705545,0.37587137743136734,0.3760848997252211,0.3761455039857644,0.37587135522705545
episode_0000,sim,superseded,right,shoulder_pitch,329,42.64963955688999,53.117362697299065,96.18215947286444,98.37732991217126,833.3,0.6875,False,45.944124490342595,54.9685219098465,95.13822538668491,95.83016583225697,204,31.286975954266982,38.06878139224901,46.791958050731,46.79199748577913,31.286975954266982
episode_0000,sim,superseded,right,shoulder_roll,329,3.4387654657753344,3.9937337305037315,6.243391199957249,10.232699668698373,666.7,0.9281,False,3.627425859713469,4.143086061935555,6.480450021351293,9.78536325919756,205,3.5020828134794955,3.8723526300853495,4.6713552226893444,4.671411000825898,3.5020828134794955
episode_0000,sim,superseded,right,shoulder_yaw,329,5.43299319292857,6.960549174910763,17.297375059862837,22.708779699715254,466.7,0.9933,False,3.8800333306867483,4.250053155267566,6.129878078841722,9.3859904665943,158,4.454292608734278,4.462921914126264,4.708033774141359,5.080423606240846,4.454292608734278
episode_0000,sim,superseded,right,elbow,329,4.134748897754021,4.39582295197427,5.1568301365764615,6.216914223753847,500.0,0.8637,False,4.032862882197846,4.299062630273018,5.088886326271856,5.121806536696354,243,3.8760348652018486,4.200888724675136,5.088850607489157,5.088896225676834,3.8760348652018486
episode_0000,sim,superseded,right,wrist_roll,329,3.7126641734902104,4.01396950015297,6.652221715025201,6.7886311804404045,466.7,0.989,False,3.211831723425015,3.2896449069984306,4.236869759056274,7.342759593880972,145,3.0756776331046547,3.079377719377519,3.048436784849376,4.142389571371574,-3.0756776331046547
episode_0001,sim,superseded,left,shoulder_pitch,54,2.828429198027049,2.8284292061624625,2.8287183030815726,2.8287350978481385,233.3,0.2205,False,2.828428814501999,2.82842882220896,2.828719117678871,2.8287236043380233,39,2.8284160547154835,2.8284160628536004,2.828719982558229,2.8287350978481385,2.8284160547154835
