session,env,asset,arm,n_samples,pos_mae_mm,pos_rms_mm,pos_p95_mm,pos_max_mm,ori_mae_deg,ori_rms_deg,ori_p95_deg,ori_max_deg,z_shortfall_mean_mm,z_shortfall_max_mm,cmd_z_range_mm
episode_0000,sim,superseded,left,329,387.89697240245266,438.6844477344297,719.7563825506196,725.1237236706081,49.13131906576959,55.85260853936821,94.92631568557637,95.79878432169701,337.8767438568325,674.0676669273613,659.0116636982871
episode_0000,sim,superseded,right,329,347.84973317060195,421.2061179190153,724.605060063075,733.6445616602571,49.525645241832315,58.85535148745208,101.30821441658543,103.33509956252503,332.7257461356601,670.2802237159982,661.0151286871444
episode_0001,sim,superseded,left,54,22.855416093467326,22.85541614295744,22.857556004115466,22.857686669886572,5.178629862764963,5.178629886469481,5.179452065008744,5.179569015010036,19.964533856149526,19.96629444914885,3.6215397208883005e-06
episode_0001,sim,superseded,right,54,19.759259105499023,19.75925910563943,19.759411403924876,19.759421452020124,6.621256748894707,6.62125674928357,6.621371535600543,6.62140874598301,16.773246231613527,16.77335398656539,4.410900117379768e-07
episode_0002,sim,superseded,left,4862,43.90629185300278,51.53372906950016,101.563891104438,208.16494150273792,9.582388147970796,11.57235714568254,24.69775917031018,46.81241231453784,38.12803212779971,197.7484995533849,222.66761488637204
episode_0002,sim,superseded,right,4862,79.95577104918402,99.57201925673765,195.61196207753815,271.3958313368048,16.149755113462973,19.87124518834507,40.04207781558522,73.24653421234913,63.06198803377747,249.01456569923758,417.5129776509186
episode_0003,sim,superseded,left,54,20.719395952168643,20.881471208990384,25.78259809280198,25.931284483526575,5.6900110723092245,6.5551084657782805,13.399094340008142,14.145969524483787,17.89604451485963,18.98435867366942,3.744844610147971
episode_0003,sim,superseded,right,54,29.33227640870594,29.45130718703231,33.51568317375763,33.64518612930694,5.0242766706484625,5.071258391758771,6.919563608259392,7.049894025256036,26.058382068172047,27.50523631525427,2.896794197141936
episode_0004,sim,superseded,left,278,53.12608819033267,57.33159265395938,95.00952653180606,110.9579535673696,13.715273507814205,16.668542029047792,33.899015937953244,52.66047538630976,43.19571143677857,110.63895911972386,151.6150546150603
episode_0004,sim,superseded,right,278,22.60970721448598,23.47152270416232,30.58063388761546,40.079400431986656,4.288108314783944,4.606824183761614,8.301358096320879,10.523783091846703,19.389634999793234,34.94212090906558,31.532605439576685
episode_0005,sim,superseded,left,41,27.591648999100677,27.801432184380698,33.17719069111801,35.1552857229442,5.628098148041518,5.677729907164824,6.990212979851474,7.367697558491819,21.891326216216378,32.3303997816258,9.893933801741916
episode_0005,sim,superseded,right,41,39.59225472095665,39.60211435071352,40.3980964949653,40.554500217778106,6.56390769216328,6.566385147994317,6.729752582626595,6.757542428833054,36.251336730605004,37.31192434493658,2.548054391123808
episode_0006,sim,superseded,left,2731,99.6440527991311,111.69162992153876,214.67753520064326,242.1588455159095,21.744281114116532,26.2702925855995,56.215245114568106,98.41136170796243,92.24543057292595,220.5401270811713,251.73262386353485
episode_0006,sim,superseded,right,2731,92.04707140976939,105.84600091533831,186.77183243745208,241.66106500492592,21.146375888359227,25.81545200847141,53.171756006715846,94.64943340001467,79.51483234785314,229.16991243065314,319.2168027236682
episode_0007,sim,superseded,left,45,99.52799152210748,99.52800547180196,99.59069018245629,99.59267533728624,12.634648534339423,12.634652134089459,12.648320531299516,12.649181717761282,98.02833447088645,98.06002712625661,3.2925072668277267e-05
episode_0007,sim,superseded,right,45,99.53268520055141,99.53269827178299,99.59255826760004,99.59418970504028,12.6662007703904,12.66620438076081,12.67966482325677,12.680457448512012,98.0114608964515,98.04199851784196,3.042187907142946e-05
episode_0008,sim,superseded,left,39,4.832573907268765,4.8325765482252905,4.841077855811688,4.845098691778572,2.9897056497125263,2.9902732404782792,3.075343534127485,3.082647124294244,4.170586793421055,4.18636923631209,0.010771853419161426
episode_0008,sim,superseded,right,39,4.629164676971029,4.629171796072666,4.647129594716837,4.652284338150236,1.6091210264713243,1.6091335993053264,1.6162082340800314,1.6169445933197717,4.552055840203722,4.560287439903277,0.010147596220852484
episode_0009,sim,superseded,left,36,4.86852790973907,4.868528621037181,4.87234417448514,4.872829861241446,3.3123531861037057,3.3123533188548673,3.313831995867205,3.3142581267624416,4.1201264690127415,4.120427680422201,0.00015097528981156128
episode_0009,sim,superseded,right,36,4.665789644682616,4.665789664991174,4.666484937386919,4.666511328866683,1.5206680833511912,1.520668428089072,1.5216568812693367,1.5219610609194962,4.604820384825142,4.605203942070466,8.850073215938004e-05
episode_0010,sim,superseded,left,37,115.57223268083861,115.57223269571132,115.57525800207331,115.57553125622552,15.970037995743832,15.97003799928,15.970579688920855,15.970628418981079,110.94125188199861,110.94513597316774,3.3463159687663335e-05
episode_0010,sim,superseded,right,37,117.83918422879762,117.8391842328002,117.84055663638075,117.84061800405455,18.643301588689777,18.643301589156817,18.643484668134406,18.643493882190334,112.75899751892248,112.76142075436907,5.297504646062379e-05
episode_0011,sim,superseded,left,2205,74.14664370290626,76.86733254887379,96.46231637857558,118.22579512187602,15.627156646755353,20.138512113562676,39.405899049512975,109.36793181152755,69.14980897413669,110.81531656878568,78.07335956295935
episode_0011,sim,superseded,right,2205,94.73700139561511,95.09463629002764,105.65774348492187,119.28090598555659,17.26702233928285,19.472044099066014,30.87373199004084,100.83173632387391,90.2752383649858,111.31854760516491,29.319384724575958
episode_0012,sim,superseded,left,37,79.46811082557255,79.47464945762125,81.61953843367007,81.83745095374078,14.032796329111108,14.036478297015163,14.81397074662559,14.851444843396166,75.80656916744871,78.21922422513435,1.3290116674976038
episode_0012,sim,superseded,right,37,104.15511314005809,104.15668805348454,104.83291237032766,104.9353061973603,14.394770068913683,14.39717590573399,14.703698207980034,14.721716401348584,98.92036599720845,99.46063595538602,1.313044251104123
episode_0013,sim,superseded,left,34,74.54150305989512,74.65916461010376,78.57290415938871,78.60102581821793,13.198604673331495,13.213721669950653,13.883384840233932,13.922702406517175,72.21161709914146,76.16771012538686,2.575561995409953
episode_0013,sim,superseded,right,34,100.39697724331486,100.39727547755356,100.65439046412767,100.68160566880212,14.281686784174862,14.281901632894046,14.4222977860289,14.445600455252903,95.45240449099822,95.7910361519185,0.5979514344033321
episode_0014,sim,superseded,left,37,87.42120577408028,87.72530508218968,97.04274011791209,97.5182408353358,14.909362315462154,14.954617787848099,16.451519441192282,16.575498620607473,83.44876284946952,92.56373042670022,2.5010922660976265
episode_0014,sim,superseded,right,37,115.10037223264347,116.23512624213807,138.78444841044004,141.01607824153183,18.104153023324375,18.285191386066813,21.86837756080019,22.19328004476981,113.36735738296062,138.8305206482401,1.2420123479812695
episode_0015,sim,superseded,left,52,72.86872738759935,72.90342555266072,76.20354297677889,76.37110015698444,13.040289029063588,13.050900552768494,13.780311100235238,13.808692928689855,70.57308509981303,73.81914641257646,4.201487829643552
episode_0015,sim,superseded,right,52,74.33203211327753,74.33365158398145,74.97937290478546,75.01624907682077,12.222858209541098,12.223023917198486,12.337983276283147,12.364892187425358,71.95979515043344,72.6908789039904,0.9388327563890908
episode_0016,physical,current,left,1117,15.473033754159626,24.538909165600668,49.07611716370003,189.3895868306486,5.771934875123305,12.163943440024171,23.184794310612723,86.55610961056301,-4.364837024769596,55.55620455697599,351.82216087361473
episode_0016,physical,current,right,1117,14.716063187859811,23.756311783140475,39.427097552011595,214.50239544378266,5.864489816171413,11.772554383954509,24.09526288907552,73.01129574985646,-2.547183306633732,44.34652066720168,449.2168286154577
episode_0017,physical,current,left,2756,42.263643545867176,54.50251330204047,106.16839152160125,111.24999420228026,9.361523221481185,12.033487057483264,24.358959825395075,25.98419241003889,-23.957118591307875,21.275093201174265,179.6719343112645
episode_0017,physical,current,right,2756,18.791683515888977,27.199635235434613,56.808364605469784,141.57927169483125,4.94264819577363,6.888725815097792,14.9039744513521,27.894577517013417,-5.268504960182765,40.65645038192839,200.42495939559035
episode_0018,physical,current,left,1433,12.238427243590914,19.632995241206448,45.43644292169865,93.4944912064096,6.108242264739131,12.532369902587359,23.519908959563608,99.38232919457414,-2.8130241770129536,63.458709154656496,336.6760976403377
episode_0018,physical,current,right,1433,11.6845889194778,19.32093575266669,40.14840388087592,99.40180648989474,6.4761073564232134,13.21893867373972,27.646461474027788,100.59592090175039,-0.8893310794880448,72.88952349271267,315.928666801383
episode_0019,physical,current,left,8333,9.537585383017717,14.462791317386982,30.210690240803405,324.4403178635471,2.5787487808010776,4.065163851537096,7.952733718503272,55.92431921719605,-3.3973562259638257,74.35849460029773,272.43869559321274
episode_0019,physical,current,right,8333,7.546985167020672,12.05982956721189,19.63089070746513,319.74635397042186,1.971828409205725,3.9427519729073777,5.804463042102494,57.39358501053764,-0.5959894614008132,54.30299244212243,262.3578081785909
episode_0020,physical,current,left,4232,6.375541731105181,11.658144636757621,15.362121467647656,189.594315847784,1.306601815167993,2.2462478451993437,3.8716139959742533,26.328001207469747,-1.6765946777460454,36.706823038586606,271.0532377875971
episode_0020,physical,current,right,4232,8.68008210401256,14.774245173376876,23.237547149229783,213.07549785679777,1.6860563138821338,2.570251169606195,4.506554306020852,24.002039095694755,-0.3113303705042068,34.247446883798304,281.7308482773413
episode_0021,physical,current,left,5498,7.093505966589263,13.189649045574326,15.623429584720213,200.91885599541467,1.683191457119298,3.2076546047852723,4.780912836328149,43.276465487352056,-1.6598153999668745,62.673000601762176,294.9859688048165
episode_0021,physical,current,right,5498,8.008874305608101,14.62187559046757,18.04655195576474,217.1472428049446,1.5384461364970354,2.387495768644882,4.164731548824654,20.068557580279094,-0.4737470982367393,50.42550767427573,231.42537487799453
episode_0022,physical,current,left,18110,5.860957358846759,7.883435197603083,15.34421072529347,55.30472076254744,1.5068611567230001,2.6471997060007038,4.422760403300886,51.087398744586544,-1.9371419514189712,32.37392441897852,543.8593873224485
episode_0022,physical,current,right,18110,5.508400140395974,7.105326101435734,13.517236470350937,69.77093198268192,1.2124513389704175,1.9208229403627444,3.1977928221389105,34.506866807790736,-0.30640366142125985,33.7227242787419,506.27068128187733
episode_0023,sim,current,left,90,11.705021554243007,16.86906806632264,43.71968672242884,48.782452967808034,1.466296580034368,1.563600526797501,2.962357839022237,3.2273127025237653,3.1478412582657755,5.815750228899407,1.8366138403002745
episode_0023,sim,current,right,90,11.717801998809344,16.896444848832566,43.81336946579421,48.9496391673602,1.4757261664521382,1.57548915698172,2.9915669897747375,3.251699080639069,3.1805760730354513,5.93822041843474,1.8433261864564399
episode_0024,sim,current,left,63,6.2708493552785125,6.2712068414506605,6.359352772235977,6.383295582951216,1.5535417181203857,1.5536827038252623,1.5791170978909093,1.5849966488993705,6.078986052433756,6.17603111828928,0.0023947563606435684
episode_0024,sim,current,right,63,5.835938397733721,5.836163223213371,5.914056803955384,5.922653532456665,1.4908395369365528,1.490845103489431,1.4973511239507589,1.4982159318377108,5.662429923010299,5.779703093506061,0.003969491862515495
