session,env,arm,error_term,n_samples,pos_median_mm,pos_mean_mm,pos_rms_mm,pos_p95_mm,pos_max_mm,ori_median_deg,ori_mean_deg,ori_rms_deg,ori_p95_deg,ori_max_deg,z_shortfall_mean_mm,z_shortfall_max_mm
episode_0022,physical,left,servo,18110,4.27930436551277,5.860957358846759,7.883435197603083,15.34421072529347,55.30472076254744,0.9455665226192533,1.5068611567230001,2.6471997060007038,4.422760403300886,51.087398744586544,-1.937141951418971,32.37392441897852
episode_0022,physical,right,servo,18110,4.346763847311619,5.508400140395974,7.105326101435734,13.517236470350937,69.77093198268192,0.8667639297567251,1.2124513389704175,1.9208229403627444,3.1977928221389105,34.506866807790736,-0.30640366142125985,33.7227242787419
episode_0023,sim,left,servo,90,5.860208361545501,11.705021554243007,16.86906806632264,43.71968672242884,48.782452967808034,1.3936004085067963,1.466296580034368,1.563600526797501,2.962357839022237,3.2273127025237653,3.147841258265776,5.815750228899407
episode_0023,sim,right,servo,90,5.926550904589858,11.717801998809344,16.896444848832566,43.81336946579421,48.9496391673602,1.4054573932946581,1.4757261664521382,1.57548915698172,2.9915669897747375,3.251699080639069,3.180576073035452,5.93822041843474
episode_0024,sim,left,servo,63,6.2768214872069565,6.2708493552785125,6.2712068414506605,6.359352772235977,6.383295582951216,1.5612929128640571,1.5535417181203857,1.5536827038252623,1.5791170978909093,1.5849966488993705,6.078986052433752,6.17603111828928
episode_0024,sim,right,servo,63,5.811929491452529,5.835938397733721,5.836163223213371,5.914056803955384,5.922653532456665,1.4904372201363056,1.4908395369365528,1.490845103489431,1.4973511239507589,1.4982159318377108,5.6624299230103,5.779703093506061
episode_0025,physical,left,servo,1716,4.639889785306961,7.550022127810482,10.15766311150899,21.200618278567344,53.26486924124325,1.01875741395664,2.8084227838043927,6.240047768018214,12.844350789460716,51.293653775342634,-2.6601742186983386,28.17043491533769
episode_0025,physical,left,total,1716,27.948778340359446,34.348437818756445,43.51157877715507,93.43855554235932,151.11089279897135,18.42183012133942,20.964186001174486,24.88625482556616,51.14658203586985,88.57171919239076,-15.112122960859207,17.194785387127055
episode_0025,physical,left,reachability,1716,21.25206830630433,31.23742083139254,41.14218750620624,89.03216669964411,151.25043730175736,17.993141002210194,19.959692384102173,23.317880209125313,47.323274922057564,76.65744489808188,-12.451948742160866,14.455217467585005
episode_0025,physical,right,servo,1716,4.596775591846892,7.372071740550394,10.026936430611963,21.575163498326347,34.6723222217025,1.312815840832597,2.9014690638820193,5.731580777249449,12.404217995874914,39.67984071519216,-1.3944027065942015,28.44489003866618
episode_0025,physical,right,total,1716,24.43200752885915,33.17012009387572,40.229363717715174,74.71781508366799,131.52816951547152,19.99520486425538,26.045482854401936,30.44131806694496,60.19917252361968,76.50954781383444,-12.88720121229418,30.818310124948344
episode_0025,physical,right,reachability,1716,22.264678738590476,30.763613731774033,37.64554677883365,69.98435827141792,129.62917984821274,18.625837305103843,24.905956300277467,29.26462229744564,58.60512827787686,75.69385155603115,-11.492798505699975,22.261755285789775
episode_0026,physical,left,servo,1176,8.404600979211354,11.239568512388626,14.217192108470709,28.659839519314893,51.595152823427085,1.4841635405368336,2.1875233927214865,3.2410968585622855,5.0384265154688475,23.16658380166393,-2.5186372192646833,36.71759948327708
episode_0026,physical,left,total,1176,57.4435917964278,54.75334821280753,58.219480072910834,89.46766986190977,95.42948629135878,9.20306930213641,15.368995932194315,21.456454179883554,35.54698245717381,83.00050782797031,-13.723787958720262,55.88695026960239
episode_0026,physical,left,reachability,1176,54.55747018519952,49.717590836716255,54.46374026562333,89.18579487393667,95.33790769741198,9.276486548166343,15.112554193787126,21.178113862980876,34.007546607547326,83.10120585869774,-11.205150739455577,27.53636823682193
episode_0026,physical,right,servo,1176,7.504785620659572,10.405046955579294,13.817507919456917,31.58217151413721,57.444964642834044,1.418282870862344,2.1875891612877996,3.048253513323343,6.112294647273694,14.590338497426675,-1.6339727595660871,43.72198820785511
episode_0026,physical,right,total,1176,74.60660440845278,63.23001282829617,70.0477585756949,99.93688467191888,122.36458293498113,15.034723756871216,22.61844702237958,28.710835049809287,72.1697474818,80.26728701997172,-17.6423892983933,67.97993090000975
episode_0026,physical,right,reachability,1176,66.28215047329438,58.71105955061991,67.04911212694566,99.45261564829636,116.48131782922421,14.484570927702938,22.362063547354733,28.53338576496021,72.58791506764113,78.86045850772177,-16.008416538827213,32.9474061323507
