env,arm,n_samples,pos_mae_mm,pos_rms_mm,pos_p95_mm,pos_max_mm,ori_mae_deg,ori_rms_deg,ori_p95_deg,ori_max_deg,z_shortfall_mean_mm,z_shortfall_max_mm
physical,left,41479,9.713341009465474,18.247903057832488,34.62182643386731,324.4403178635471,2.520851878564763,5.223981224257053,10.546575568348977,99.38232919457414,-3.725866808658959,74.35849460029773
physical,right,41479,7.9168926591289575,13.383590127197067,22.75852244101243,319.74635397042186,2.0115080511932666,4.368701575871932,6.671608165720286,100.59592090175039,-0.7974439360869676,72.88952349271267
sim,left,153,9.467421237022332,13.549366863871114,35.268105046535496,48.782452967808034,1.5022210486580223,1.5595243559038547,2.4491920296736205,3.2273127025237653,4.3547832323349445,6.17603111828928
sim,right,153,9.295858163072321,13.489263908475127,35.30630147088821,48.9496391673602,1.4819493190045439,1.5411988209308818,2.4880207373021332,3.251699080639069,4.202515893613331,5.93822041843474
